               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.046337,            0.018419,            0.034091,             0.32853,             0.99174,             0.51991,             0.35579,            0.017979,           0.0050158,            0.021426,            0.070053,           0.0033274,           0.0033274
                   1,            0.029966,           0.0099373,            0.030494,             0.39866,             0.86116,             0.59601,             0.47418,            0.012516,           0.0042849,            0.019576,            0.039921,           0.0065289,           0.0065289
                   2,            0.027013,           0.0085169,            0.027618,              0.6262,              0.7524,              0.7478,             0.59731,            0.012193,           0.0043278,            0.016493,           0.0096575,           0.0095983,           0.0095983
                   3,             0.02389,           0.0080192,            0.024892,             0.70257,             0.74686,              0.8088,             0.65596,            0.010485,           0.0040197,            0.015034,            0.009406,            0.009406,            0.009406
                   4,            0.020913,           0.0075719,            0.022484,             0.58328,             0.82031,             0.80674,             0.65836,            0.010405,           0.0039517,            0.017961,            0.009406,            0.009406,            0.009406
                   5,            0.019348,           0.0073494,             0.02021,             0.55702,             0.69525,             0.69205,             0.55836,            0.010421,           0.0039516,            0.030501,            0.009208,            0.009208,            0.009208
                   6,            0.018688,           0.0071227,            0.018385,             0.79766,             0.82132,             0.89787,              0.7518,           0.0091105,           0.0035931,            0.010754,             0.00901,             0.00901,             0.00901
                   7,            0.017946,           0.0070021,            0.016627,             0.79169,             0.84048,             0.90787,              0.7657,           0.0089898,           0.0035546,            0.012834,            0.008812,            0.008812,            0.008812
                   8,            0.017217,           0.0067869,            0.014853,             0.83484,             0.86899,             0.91265,             0.76261,           0.0088269,             0.00353,           0.0090435,            0.008614,            0.008614,            0.008614
                   9,            0.016716,           0.0066934,            0.013392,             0.89972,             0.90181,             0.95739,             0.81382,           0.0084016,           0.0034363,           0.0060772,            0.008416,            0.008416,            0.008416
                  10,            0.016694,           0.0066876,            0.012311,             0.89219,             0.90271,             0.95896,             0.81425,           0.0082576,           0.0034189,           0.0064883,            0.008218,            0.008218,            0.008218
                  11,            0.016348,           0.0065407,            0.011276,             0.91239,              0.9068,             0.96687,             0.82256,           0.0084194,           0.0034613,           0.0053553,             0.00802,             0.00802,             0.00802
                  12,            0.016092,           0.0064782,            0.010123,             0.91826,             0.91434,             0.97253,             0.82824,           0.0082186,           0.0033391,            0.005421,            0.007822,            0.007822,            0.007822
                  13,             0.01584,           0.0064095,           0.0094232,             0.90104,             0.93787,             0.96963,             0.82911,           0.0081611,           0.0033302,           0.0053237,            0.007624,            0.007624,            0.007624
                  14,            0.015581,           0.0062646,           0.0089486,             0.95582,             0.96054,             0.98644,             0.85464,           0.0079319,           0.0032279,           0.0029435,            0.007426,            0.007426,            0.007426
                  15,            0.015394,           0.0062615,           0.0081554,             0.93873,             0.94782,             0.98663,             0.84905,           0.0078812,           0.0032592,           0.0035226,            0.007228,            0.007228,            0.007228
                  16,            0.014946,           0.0061113,           0.0078709,             0.96862,             0.96212,             0.99012,             0.85666,           0.0077908,           0.0032762,           0.0023415,             0.00703,             0.00703,             0.00703
                  17,            0.015023,           0.0061131,           0.0073288,             0.97763,             0.97199,             0.99037,             0.85775,           0.0077716,           0.0032232,           0.0021066,            0.006832,            0.006832,            0.006832
                  18,            0.014825,            0.006016,           0.0065488,             0.96636,             0.97421,             0.99093,             0.85502,           0.0078211,            0.003285,           0.0021296,            0.006634,            0.006634,            0.006634
                  19,            0.014552,           0.0059885,           0.0062882,             0.88491,             0.91313,             0.96609,             0.83042,           0.0080394,           0.0033031,           0.0077498,            0.006436,            0.006436,            0.006436
                  20,            0.014323,           0.0060397,           0.0058491,             0.98115,             0.98791,             0.99304,              0.8678,           0.0076336,           0.0031494,           0.0011503,            0.006238,            0.006238,            0.006238
                  21,            0.014093,           0.0059619,           0.0054417,             0.97358,             0.97933,             0.99162,             0.86483,           0.0075396,           0.0031849,           0.0017589,             0.00604,             0.00604,             0.00604
                  22,            0.014029,           0.0059448,           0.0052388,              0.9827,             0.97872,             0.99253,             0.86824,            0.007411,           0.0031409,           0.0015119,            0.005842,            0.005842,            0.005842
                  23,            0.014083,           0.0059309,            0.005028,              0.9669,             0.97671,             0.99172,             0.86995,            0.007441,           0.0031642,           0.0020336,            0.005644,            0.005644,            0.005644
                  24,            0.013688,           0.0058765,            0.004587,             0.98002,             0.97636,             0.99167,             0.86938,           0.0073374,           0.0030794,           0.0017885,            0.005446,            0.005446,            0.005446
                  25,            0.013677,           0.0057854,           0.0042132,             0.98316,             0.97905,             0.98995,              0.8652,           0.0072642,           0.0031599,           0.0016949,            0.005248,            0.005248,            0.005248
                  26,            0.013532,           0.0057029,           0.0045331,             0.98434,             0.97797,             0.99288,             0.87303,           0.0071817,           0.0030627,           0.0015256,             0.00505,             0.00505,             0.00505
                  27,            0.013255,           0.0056941,           0.0039107,             0.99175,              0.9855,             0.99313,             0.87574,           0.0071523,           0.0030139,           0.0011684,            0.004852,            0.004852,            0.004852
                  28,            0.013299,            0.005614,           0.0038011,             0.99023,             0.98939,             0.99439,             0.87472,           0.0071991,           0.0030582,           0.0009043,            0.004654,            0.004654,            0.004654
                  29,             0.01317,           0.0055535,           0.0035006,             0.98892,             0.98375,             0.99314,             0.87326,           0.0070807,           0.0030463,          0.00099892,            0.004456,            0.004456,            0.004456
                  30,            0.013099,           0.0056295,           0.0031602,             0.99328,             0.99196,             0.99423,             0.87826,           0.0070616,           0.0029645,          0.00063581,            0.004258,            0.004258,            0.004258
                  31,             0.01273,           0.0056048,           0.0029861,             0.98677,             0.98335,             0.99262,             0.88034,           0.0070061,           0.0030005,           0.0012531,             0.00406,             0.00406,             0.00406
                  32,            0.012611,            0.005491,            0.003139,             0.98784,             0.98949,             0.99406,             0.88159,           0.0069163,           0.0029726,          0.00095573,            0.003862,            0.003862,            0.003862
                  33,            0.012649,           0.0054916,            0.002537,             0.98717,             0.98852,             0.99355,             0.87856,           0.0069195,            0.002951,           0.0012407,            0.003664,            0.003664,            0.003664
                  34,            0.012453,           0.0055313,           0.0024231,             0.98176,             0.99123,             0.99366,             0.88261,           0.0068908,           0.0029272,           0.0010472,            0.003466,            0.003466,            0.003466
                  35,            0.012264,           0.0053256,           0.0026414,             0.98928,             0.98742,             0.99338,             0.88203,           0.0068507,           0.0029548,           0.0012239,            0.003268,            0.003268,            0.003268
                  36,            0.012221,           0.0053569,           0.0021275,             0.98924,             0.98877,             0.99355,             0.88469,           0.0068242,           0.0029182,          0.00091576,             0.00307,             0.00307,             0.00307
                  37,            0.011983,             0.00535,           0.0022867,             0.98818,             0.99202,             0.99399,             0.88538,           0.0068088,           0.0029258,          0.00080861,            0.002872,            0.002872,            0.002872
                  38,            0.011856,           0.0052113,           0.0019714,             0.99246,             0.99639,             0.99447,             0.88659,            0.006779,           0.0029105,          0.00054006,            0.002674,            0.002674,            0.002674
                  39,            0.011837,           0.0052931,           0.0017658,             0.98906,             0.99029,             0.99347,             0.88541,           0.0068218,           0.0029169,          0.00090277,            0.002476,            0.002476,            0.002476
                  40,            0.011719,           0.0051998,           0.0017248,             0.99015,             0.98706,             0.99308,             0.88721,           0.0067661,           0.0029046,           0.0010277,            0.002278,            0.002278,            0.002278
                  41,            0.011591,           0.0052252,           0.0017762,             0.99271,             0.99295,             0.99435,              0.8897,           0.0067387,           0.0028911,          0.00051695,             0.00208,             0.00208,             0.00208
                  42,            0.011485,           0.0050859,           0.0015202,             0.99254,             0.98865,             0.99331,             0.88725,           0.0067103,           0.0029107,          0.00081092,            0.001882,            0.001882,            0.001882
                  43,            0.011412,           0.0050686,           0.0014682,             0.99236,             0.99045,             0.99321,             0.89025,           0.0066895,           0.0028943,          0.00098241,            0.001684,            0.001684,            0.001684
                  44,            0.011226,           0.0050637,           0.0014093,             0.98742,             0.98803,             0.99042,             0.88815,             0.00665,           0.0028742,           0.0015322,            0.001486,            0.001486,            0.001486
                  45,            0.011089,           0.0050065,           0.0012049,             0.98808,             0.99005,             0.99211,             0.89148,           0.0066372,           0.0028818,           0.0011798,            0.001288,            0.001288,            0.001288
                  46,            0.010969,           0.0050365,           0.0012323,             0.98867,             0.99037,             0.99198,             0.89173,           0.0066018,           0.0028815,           0.0012854,             0.00109,             0.00109,             0.00109
                  47,            0.010798,           0.0050003,           0.0010213,             0.98872,             0.99217,             0.99248,             0.89274,           0.0065825,           0.0028683,           0.0012242,            0.000892,            0.000892,            0.000892
                  48,             0.01077,           0.0049797,          0.00096556,             0.98855,             0.99222,             0.99253,             0.89334,           0.0066078,           0.0028754,           0.0012195,            0.000694,            0.000694,            0.000694
                  49,             0.01067,           0.0049328,          0.00094868,             0.98865,              0.9907,             0.99264,             0.89446,           0.0065896,           0.0028884,           0.0012026,            0.000496,            0.000496,            0.000496
